question_id,table_id,score
0,0,0.2962962962962963
1,0,0.3333333333333333
2,0,0.1111111111111111
3,0,0.2962962962962963
4,0,0.3333333333333333
5,1,0.25
6,1,0.25
7,1,0.25
8,2,0.2
9,2,0.6
10,2,0.2
11,2,0.2
12,3,0.5
13,3,0.5
14,4,0.47368421052631576
15,4,0.47368421052631576
16,4,0.47368421052631576
17,4,0.3684210526315789
18,4,0.3157894736842105
19,5,0.2727272727272727
20,5,0.18181818181818182
21,5,0.18181818181818182
22,5,0.5454545454545454
23,5,0.18181818181818182
24,5,0.09090909090909091
25,5,0.18181818181818182
26,5,0.18181818181818182
27,5,0.2727272727272727
28,6,0.15384615384615385
29,6,0.15384615384615385
30,6,0.15384615384615385
31,6,0.15384615384615385
32,6,0.15384615384615385
33,6,0.15384615384615385
34,8,0.0
35,8,0.0
36,8,0.4
37,8,0.2
38,9,0.0
39,9,0.0
40,10,0.0
41,10,0.0
42,10,0.0
43,10,0.0
44,10,0.3333333333333333
45,10,0.0
46,10,0.3333333333333333
47,10,0.0
48,11,0.0
49,11,0.5
50,12,0.25
51,12,0.25
52,12,0.25
53,12,0.25
54,13,0.2
55,13,0.2
56,14,0.5
57,14,0.5
58,15,0.0
59,15,0.0
60,16,0.0
61,16,0.2
62,16,0.0
63,16,0.0
64,16,0.0
65,17,0.16666666666666666
66,17,0.6666666666666666
67,17,0.16666666666666666
68,17,0.3333333333333333
69,18,0.0
70,18,0.3076923076923077
71,18,0.0
72,18,0.0
73,18,0.23076923076923078
74,18,0.23076923076923078
75,18,0.0
76,18,0.0
77,19,0.42857142857142855
78,19,0.42857142857142855
79,19,0.42857142857142855
80,19,0.42857142857142855
81,20,0.2727272727272727
82,20,0.09090909090909091
83,20,0.18181818181818182
84,20,0.18181818181818182
85,20,0.18181818181818182
86,20,0.36363636363636365
87,21,0.0
88,21,0.16666666666666666
89,21,0.08333333333333333
90,21,0.08333333333333333
91,21,0.0
92,21,0.08333333333333333
93,22,0.16666666666666666
94,22,0.16666666666666666
95,22,0.3333333333333333
96,23,0.0
97,23,0.5454545454545454
98,23,0.36363636363636365
99,23,0.18181818181818182
100,23,0.18181818181818182
101,24,0.1506849315068493
102,24,0.04794520547945205
103,24,0.0136986301369863
104,24,0.10273972602739725
105,24,0.06164383561643835
106,24,0.08904109589041095
107,24,0.0684931506849315
108,25,0.058823529411764705
109,25,0.0
110,25,0.0
111,25,0.058823529411764705
112,25,0.0
113,25,0.0
114,26,0.5
115,26,0.125
116,26,0.625
117,26,0.5
118,26,0.375
119,27,0.0
120,27,0.0
121,27,0.2
122,27,0.0
123,27,0.2
124,27,0.0
125,27,0.2
126,29,0.13333333333333333
127,29,0.06666666666666667
128,29,0.13333333333333333
129,29,0.06666666666666667
130,29,0.06666666666666667
131,29,0.0
132,30,0.5
133,30,1.0
134,31,0.07142857142857142
135,31,0.07142857142857142
136,31,0.21428571428571427
137,31,0.07142857142857142
138,31,0.07142857142857142
139,31,0.07142857142857142
140,32,0.2857142857142857
141,32,0.10714285714285714
142,32,0.5
143,32,0.5
144,32,0.10714285714285714
145,32,0.21428571428571427
146,32,0.07142857142857142
147,32,0.25
148,32,0.21428571428571427
149,32,0.32142857142857145
150,33,0.14285714285714285
151,33,0.42857142857142855
152,33,0.5714285714285714
153,33,0.5714285714285714
154,33,0.2857142857142857
155,33,0.42857142857142855
156,33,0.14285714285714285
157,33,0.42857142857142855
158,34,0.14285714285714285
159,34,0.14285714285714285
160,34,0.14285714285714285
161,34,0.42857142857142855
162,34,0.14285714285714285
163,35,0.09090909090909091
164,35,0.2727272727272727
165,35,0.09090909090909091
166,35,0.09090909090909091
167,35,0.09090909090909091
168,35,0.09090909090909091
169,36,0.2
170,36,0.0
171,36,0.2
172,36,0.1
173,37,0.1111111111111111
174,37,0.1111111111111111
175,37,0.0
176,37,0.0
177,37,0.1111111111111111
178,38,0.25
179,38,0.0
180,38,0.0
181,39,0.0
182,39,0.0
183,40,0.25
184,40,0.4166666666666667
185,40,0.4166666666666667
186,40,0.4166666666666667
187,40,0.4166666666666667
188,41,0.0
189,41,0.1
190,41,0.0
191,41,0.0
192,42,0.037037037037037035
193,42,0.0
194,42,0.25925925925925924
195,42,0.037037037037037035
196,42,0.037037037037037035
197,42,0.0
198,42,0.0
199,42,0.037037037037037035
200,43,0.2727272727272727
201,43,0.2727272727272727
202,43,0.2727272727272727
203,43,0.2727272727272727
204,43,0.09090909090909091
205,43,0.09090909090909091
206,44,0.18181818181818182
207,44,0.22727272727272727
208,44,0.18181818181818182
209,44,0.09090909090909091
210,44,0.18181818181818182
211,44,0.22727272727272727
212,44,0.22727272727272727
213,44,0.18181818181818182
214,44,0.18181818181818182
215,44,0.18181818181818182
216,44,0.18181818181818182
217,45,0.043478260869565216
218,45,0.043478260869565216
219,45,0.043478260869565216
220,45,0.17391304347826086
221,45,0.043478260869565216
222,45,0.043478260869565216
223,45,0.13043478260869565
224,45,0.043478260869565216
225,46,0.0
226,46,0.0
227,46,0.06666666666666667
228,46,0.06666666666666667
229,47,0.14285714285714285
230,47,0.21428571428571427
231,47,0.07142857142857142
232,47,0.14285714285714285
233,47,0.2857142857142857
234,47,0.07142857142857142
235,47,0.0
236,48,0.0
237,48,0.0
238,48,0.3333333333333333
239,48,0.0
240,48,0.0
241,48,0.0
242,49,0.07692307692307693
243,49,0.07692307692307693
244,49,0.07692307692307693
245,49,0.07692307692307693
246,49,0.0
247,49,0.15384615384615385
248,50,1.0
249,50,1.0
250,50,1.0
251,50,1.0
252,51,0.2
253,51,0.2
254,51,0.2
255,51,0.2
256,52,0.25
257,52,0.0
258,52,0.25
259,52,0.0
260,52,0.125
261,53,0.3559322033898305
262,53,0.3559322033898305
263,53,0.3050847457627119
264,53,0.3728813559322034
265,53,0.4745762711864407
266,53,0.3728813559322034
267,53,0.3898305084745763
268,54,0.0
269,54,0.0
270,54,0.0
271,54,0.0
272,54,0.0
273,55,0.030303030303030304
274,55,0.030303030303030304
275,55,0.030303030303030304
276,55,0.030303030303030304
277,55,0.09090909090909091
278,55,0.09090909090909091
279,55,0.30303030303030304
280,55,0.30303030303030304
281,55,0.30303030303030304
282,55,0.30303030303030304
283,55,0.30303030303030304
284,55,0.30303030303030304
285,55,0.06060606060606061
286,55,0.06060606060606061
287,55,0.06060606060606061
288,55,0.06060606060606061
289,55,0.06060606060606061
290,55,0.06060606060606061
291,55,0.06060606060606061
292,55,0.06060606060606061
293,56,0.0
294,56,0.0
295,56,0.09523809523809523
296,56,0.19047619047619047
297,56,0.14285714285714285
298,56,0.047619047619047616
299,56,0.047619047619047616
300,56,0.047619047619047616
301,57,0.0
302,57,0.06818181818181818
303,57,0.045454545454545456
304,57,0.045454545454545456
305,57,0.045454545454545456
306,57,0.0
307,57,0.045454545454545456
308,57,0.06818181818181818
309,57,0.045454545454545456
310,57,0.045454545454545456
311,58,0.26666666666666666
312,58,0.2
313,58,0.5333333333333333
314,58,0.2
315,58,0.6666666666666666
316,58,0.5333333333333333
317,58,0.26666666666666666
318,58,0.2
319,58,0.2
320,58,0.2
321,59,0.16666666666666666
322,59,0.16666666666666666
323,59,0.3333333333333333
324,59,0.3333333333333333
325,60,0.15384615384615385
