Table_1
url,Date,Weekday,Holiday_Name,Holiday_Name_link,Holiday_Type,Where_It_Is_Observed
https://www.timeanddate.com/holidays/us/,Jan 1,Monday,New Year's Day,https://www.timeanddate.com/holidays/us/new-year-day,Federal Holiday,
https://www.timeanddate.com/holidays/us/,Jan 1,Monday,New Year's Eve observed,https://www.timeanddate.com/holidays/us/new-year-eve,State holiday,"LA, MI, WI"
https://www.timeanddate.com/holidays/us/,Jan 4,Thursday,World Braille Day,https://www.timeanddate.com/holidays/world/world-braille-day,Worldwide observance,
https://www.timeanddate.com/holidays/us/,Jan 6,Saturday,Epiphany,https://www.timeanddate.com/holidays/us/epiphany,Christian,
https://www.timeanddate.com/holidays/us/,Jan 7,Sunday,Orthodox Christmas Day,https://www.timeanddate.com/holidays/us/orthodox-christmas-day,Orthodox,
https://www.timeanddate.com/holidays/us/,Jan 7,Sunday,International Programmers' Day,https://www.timeanddate.com/holidays/world/international-programmers-day,Worldwide observance,
https://www.timeanddate.com/holidays/us/,Jan 12,Friday,Lee Jackson Day,https://www.timeanddate.com/holidays/us/lee-jackson-day,State holiday,Virginia
https://www.timeanddate.com/holidays/us/,Jan 13,Saturday,Stephen Foster Memorial Day,https://www.timeanddate.com/holidays/us/stephen-foster-memorial-day,Observance,
https://www.timeanddate.com/holidays/us/,Jan 14,Sunday,Orthodox New Year,https://www.timeanddate.com/holidays/us/orthodox-new-year,Orthodox,
https://www.timeanddate.com/holidays/us/,Jan 15,Monday,Martin Luther King Jr. Day,https://www.timeanddate.com/holidays/us/martin-luther-king-day,Federal Holiday,
https://www.timeanddate.com/holidays/us/,Jan 15,Monday,Robert E Lee's Birthday,https://www.timeanddate.com/holidays/us/robert-e-lee-birthday,State holiday,"Alabama, Mississippi"
https://www.timeanddate.com/holidays/us/,Jan 15,Monday,Idaho Human Rights Day,https://www.timeanddate.com/holidays/us/idaho-human-rights-day,State holiday,Idaho
https://www.timeanddate.com/holidays/us/,Jan 15,Monday,Civil Rights Day,https://www.timeanddate.com/holidays/us/civil-rights-day,State holiday,"Arizona, New Hampshire"
https://www.timeanddate.com/holidays/us/,Jan 19,Friday,Robert E Lee's Birthday,https://www.timeanddate.com/holidays/us/robert-e-lee-birthday,State holiday,Florida
https://www.timeanddate.com/holidays/us/,Jan 19,Friday,Confederate Memorial Day,https://www.timeanddate.com/holidays/us/confederate-memorial-day,State holiday,Texas
https://www.timeanddate.com/holidays/us/,Jan 21,Sunday,World Religion Day,https://www.timeanddate.com/holidays/world/world-religion-day,Worldwide observance,
https://www.timeanddate.com/holidays/us/,Jan 26,Friday,International Customs Day,https://www.timeanddate.com/holidays/world/international-customs-day,Worldwide observance,
https://www.timeanddate.com/holidays/us/,Jan 27,Saturday,International Day of Commemoration in Memory of the Victims of the Holocaust,https://www.timeanddate.com/holidays/un/commemoration-of-holocaust-victims,United Nations observance,
