Table_1
url,Analytics_Image,Analytics_Image_alt,Analytics_Image_link,Indexed_Biz,Biz_Name_Click,Biz_Name_Click_link,Off_Screen,Off_Screen_alt,Review_Count,Business,Category_List_Text,Category_List_Link,Category_List_Link_link,Neighborhood,Secondary,Biz_Parent_2,Biz_Parent_2_link,Phone_Number,Photo_Box_Image,Photo_Box_Image_alt,Photo_Box_Image_link,Snippet,Read_More,Read_More_link
https://www.yelp.com/search?find_desc=&find_loc=Las+Vegas%2C+NV&ns=1,https://s3-media3.fl.yelpcdn.com/bphoto/8QULBxrkgi8d_ieEawGJAQ/90s.jpg,Mon Ami Gabi,https://www.yelp.com/biz/mon-ami-gabi-las-vegas-2,1.,Mon Ami Gabi,https://www.yelp.com/biz/mon-ami-gabi-las-vegas-2,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.0 star rating,7735 reviews,$$,"French, Steakhouses, Breakfast & Brunch",French; Steakhouses; Breakfast & Brunch,https://www.yelp.com/search?cflt=french&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=steak&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=breakfast_brunch&find_loc=Las+Vegas%2C+NV,The Strip,"3655 Las Vegas Blvd S
Las Vegas, NV 89109",,,(702) 944-4224,https://s3-media4.fl.yelpcdn.com/photo/REY7qTsqLZcLOYI9nW1MjQ/30s.jpg,Ko M.,https://www.yelp.com/user_details?userid=XMH1DkucYJ_bZ3-cM99gHA,"This is not a 5 star restaurant, but it is worth a 5 star review.  1. Simple lunch menu is very tasty. (Four stars) 2. Our server, Debbie, was helpful and attentive without hovering,…",read more,https://www.yelp.com/biz/mon-ami-gabi-las-vegas-2?hrid=7O1e65vd8OwFimDQz4M8iQ
https://www.yelp.com/search?find_desc=&find_loc=Las+Vegas%2C+NV&ns=1,https://s3-media4.fl.yelpcdn.com/bphoto/z444WzW6t2Ve1vSPelEvug/90s.jpg,Earl of Sandwich,https://www.yelp.com/biz/earl-of-sandwich-las-vegas,2.,Earl of Sandwich,https://www.yelp.com/biz/earl-of-sandwich-las-vegas,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.5 star rating,4924 reviews,$,"Sandwiches, Salad, Wraps",Sandwiches; Salad; Wraps,https://www.yelp.com/search?cflt=sandwiches&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=salad&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=wraps&find_loc=Las+Vegas%2C+NV,The Strip,,Planet Hollywood Las Vegas Resort & Casino,https://www.yelp.com/biz/planet-hollywood-las-vegas-resort-and-casino-las-vegas,(702) 463-0259,https://s3-media3.fl.yelpcdn.com/photo/RGbD38zyqa2SwTb6ZtY4AQ/30s.jpg,Joanna L.,https://www.yelp.com/user_details?userid=m19IzjDyYKtIlWJSjytU2A,"Came here after a long, but fun, and super tiring / crazy weekend. The last sandwich before we headed back home. I got  the avocado chipotle chicken sandwich and it did not…",read more,https://www.yelp.com/biz/earl-of-sandwich-las-vegas?hrid=aDW_rJF0PIq3h6mvKcviPw
https://www.yelp.com/search?find_desc=&find_loc=Las+Vegas%2C+NV&ns=1,https://s3-media1.fl.yelpcdn.com/bphoto/SrM8q-cGpbX5RJUYiEFFrQ/90s.jpg,Gangnam Asian BBQ Dining,https://www.yelp.com/biz/gangnam-asian-bbq-dining-las-vegas-2,3.,Gangnam Asian BBQ Dining,https://www.yelp.com/biz/gangnam-asian-bbq-dining-las-vegas-2,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.5 star rating,3515 reviews,$$,"Japanese, Korean, Barbeque",Japanese; Korean; Barbeque,https://www.yelp.com/search?cflt=japanese&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=korean&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=bbq&find_loc=Las+Vegas%2C+NV,Eastside,"4480 Paradise Rd
Las Vegas, NV 89169",,,(702) 802-5508,https://s3-media1.fl.yelpcdn.com/photo/DbIz1mq2kpz9SHKJPOFfBQ/30s.jpg,Nick D.,https://www.yelp.com/user_details?userid=-vBbg7fTK3y8W0PtpzlLWQ,"Although Gangnam isn't AYCE like we're used to, it's definitely a good spot for KBBQ.  We've had dinner here twice, and ordered the Meat Lover's with an order of Japchae and Kabocha…",read more,https://www.yelp.com/biz/gangnam-asian-bbq-dining-las-vegas-2?hrid=OPCAmwsfvOmY0EeVMl-xwA
https://www.yelp.com/search?find_desc=&find_loc=Las+Vegas%2C+NV&ns=1,https://s3-media2.fl.yelpcdn.com/bphoto/LvAbNDFiFpAL_smf1lUM-g/90s.jpg,Yardbird Southern Table & Bar,https://www.yelp.com/biz/yardbird-southern-table-and-bar-las-vegas,4.,Yardbird Southern Table & Bar,https://www.yelp.com/biz/yardbird-southern-table-and-bar-las-vegas,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.5 star rating,2634 reviews,$$,"Southern, American (New)",Southern; American (New),https://www.yelp.com/search?cflt=southern&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=newamerican&find_loc=Las+Vegas%2C+NV,The Strip,,The Venetian Las Vegas,https://www.yelp.com/biz/the-venetian-las-vegas-las-vegas-2,(702) 297-6541,https://s3-media3.fl.yelpcdn.com/photo/riNlgInRMDveljl7kYUPfw/30s.jpg,Colby M.,https://www.yelp.com/user_details?userid=qkB45kPHlCYmIo1uKVMufg,"Exceptional food. Exceptional service. Fantastic beer selection... cannot miss with the chicken. Fried chicken, chicken sandwich...  Restaurant staff is on top of their game,…",read more,https://www.yelp.com/biz/yardbird-southern-table-and-bar-las-vegas?hrid=0wBSBIJCw67uJmhn2WcFBw
https://www.yelp.com/search?find_desc=&find_loc=Las+Vegas%2C+NV&ns=1,https://s3-media4.fl.yelpcdn.com/bphoto/T6p2zmAdERYge9RhYk2Y0Q/90s.jpg,Bacchanal Buffet,https://www.yelp.com/biz/bacchanal-buffet-las-vegas-7,5.,Bacchanal Buffet,https://www.yelp.com/biz/bacchanal-buffet-las-vegas-7,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.0 star rating,7598 reviews,$$$,Buffets,Buffets,https://www.yelp.com/search?cflt=buffets&find_loc=Las+Vegas%2C+NV,The Strip,,Caesars Palace Las Vegas Hotel & Casino,https://www.yelp.com/biz/caesars-palace-las-vegas-hotel-and-casino-las-vegas,(702) 731-7928,https://s3-media1.fl.yelpcdn.com/photo/8Csm3gElYlZ7IBTORzDMtg/30s.jpg,Desiree V.,https://www.yelp.com/user_details?userid=2yP5EEprlkZmkWDuL-racQ,"Soooooooo much foooooood.  I originally head about this place via frolic and I was intrigued.  Then, by the awesome grace of God, Groupon had a deal. 2 VIP Access with drink of…",read more,https://www.yelp.com/biz/bacchanal-buffet-las-vegas-7?hrid=HhMhD8CVwyEwCEQ41Rjk3A
https://www.yelp.com/search?find_desc=&find_loc=Las+Vegas%2C+NV&ns=1,https://s3-media3.fl.yelpcdn.com/bphoto/XROPF2Gj_w0nhHvd2-pzPA/90s.jpg,The Oyster Bar,https://www.yelp.com/biz/the-oyster-bar-las-vegas-2,6.,The Oyster Bar,https://www.yelp.com/biz/the-oyster-bar-las-vegas-2,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.5 star rating,2245 reviews,$$,"Seafood, Bars",Seafood; Bars,https://www.yelp.com/search?cflt=seafood&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=bars&find_loc=Las+Vegas%2C+NV,,,Palace Station Hotel & Casino,https://www.yelp.com/biz/palace-station-hotel-and-casino-las-vegas,(702) 367-2411,https://s3-media1.fl.yelpcdn.com/photo/obl0Vsid6EmEOuVGfSsLDQ/30s.jpg,Linh C.,https://www.yelp.com/user_details?userid=9FyBOjMNADDIWtGbWZPMQg,OMG!!!  No wonder why the Oyster Bar located at The Palace Station always has a long line.  It's worth the hour wait for the best raw oysters off the strip.  This spot is not a sit…,read more,https://www.yelp.com/biz/the-oyster-bar-las-vegas-2?hrid=cRUqSz5oHm78uCBh_nr-Bg
https://www.yelp.com/search?find_desc=&find_loc=Las+Vegas%2C+NV&ns=1,https://s3-media3.fl.yelpcdn.com/bphoto/vlSPp57h1jI7Y0BaBIE4kg/90s.jpg,Egg & I,https://www.yelp.com/biz/egg-and-i-las-vegas,7.,Egg & I,https://www.yelp.com/biz/egg-and-i-las-vegas,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.5 star rating,2789 reviews,$$,"Breakfast & Brunch, American (Traditional), Pizza",Breakfast & Brunch; American (Traditional); Pizza,https://www.yelp.com/search?cflt=breakfast_brunch&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=tradamerican&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=pizza&find_loc=Las+Vegas%2C+NV,Westside,"4533 W Sahara Ave
Las Vegas, NV 89102",,,(702) 364-9686,https://s3-media2.fl.yelpcdn.com/photo/3CCDU63aaQDbY7XTFdxb6Q/30s.jpg,Eddy P.,https://www.yelp.com/user_details?userid=bI0lvh1gm7lcI3nOrQTc7w,"All the breakfast spots on the strip were super busy and pricey . After a quick Yelp search and 10 min uber ride, we landed here.   Located in a small plaza with other businesses .…",read more,https://www.yelp.com/biz/egg-and-i-las-vegas?hrid=DQbm_w8rXRSMux5rAjN3iw
https://www.yelp.com/search?find_desc=&find_loc=Las+Vegas%2C+NV&ns=1,https://s3-media2.fl.yelpcdn.com/bphoto/aUEiGRhpkJD9VCiVsCViNw/90s.jpg,Secret Pizza,https://www.yelp.com/biz/secret-pizza-las-vegas,8.,Secret Pizza,https://www.yelp.com/biz/secret-pizza-las-vegas,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.0 star rating,3950 reviews,$,Pizza,Pizza,https://www.yelp.com/search?cflt=pizza&find_loc=Las+Vegas%2C+NV,The Strip,"3708 Las Vegas Blvd S
Las Vegas, NV 89109",,,(702) 698-7860,https://s3-media4.fl.yelpcdn.com/photo/uDvGPLMwpiar4Eb0apBN6Q/30s.jpg,Fitzgerald V.,https://www.yelp.com/user_details?userid=HhsHegKf-cnkDzUCbM9ZoA,"boi don't start wit me today, my whole demeanor changed after i ate up at dis jawn. ima keep it g real wit y'all, when you pull up (i kno u goin to) don't be intimidated by dat…",read more,https://www.yelp.com/biz/secret-pizza-las-vegas?hrid=gN4T-Sq4IokUIsaKsF14Dg
https://www.yelp.com/search?find_desc=&find_loc=Las+Vegas%2C+NV&ns=1,https://s3-media3.fl.yelpcdn.com/bphoto/boCTmkhQT_TtjTJxwAX67Q/90s.jpg,Rollin Smoke Barbeque,https://www.yelp.com/biz/rollin-smoke-barbeque-las-vegas,9.,Rollin Smoke Barbeque,https://www.yelp.com/biz/rollin-smoke-barbeque-las-vegas,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.5 star rating,2539 reviews,$$,"Barbeque, Burgers, Soul Food",Barbeque; Burgers; Soul Food,https://www.yelp.com/search?cflt=bbq&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=burgers&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=soulfood&find_loc=Las+Vegas%2C+NV,,"3185 S Highland Dr
Las Vegas, NV 89109",,,(702) 836-3621,https://s3-media1.fl.yelpcdn.com/photo/k0KcXwlQOaNMADgnNG54AQ/30s.jpg,Neil M.,https://www.yelp.com/user_details?userid=zudZl2wYpmZYyoklPVhV-A,"If you love BBQ, then this is definitely a place to try at least once. I don't come here often as it's not that close to where I live, but always enjoy myself and the food whenever I…",read more,https://www.yelp.com/biz/rollin-smoke-barbeque-las-vegas?hrid=IDuWYL0C79fLce24_dRP4g
https://www.yelp.com/search?find_desc=&find_loc=Las+Vegas%2C+NV&ns=1,https://s3-media3.fl.yelpcdn.com/bphoto/XRmqr-QiNWa34yYArKE8tg/90s.jpg,Hash House A Go Go,https://www.yelp.com/biz/hash-house-a-go-go-las-vegas-5,10.,Hash House A Go Go,https://www.yelp.com/biz/hash-house-a-go-go-las-vegas-5,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4.0 star rating,5171 reviews,$$,"American (New), Breakfast & Brunch",American (New); Breakfast & Brunch,https://www.yelp.com/search?cflt=newamerican&find_loc=Las+Vegas%2C+NV; https://www.yelp.com/search?cflt=breakfast_brunch&find_loc=Las+Vegas%2C+NV,The Strip,,The LINQ Hotel & Casino,https://www.yelp.com/biz/the-linq-hotel-and-casino-las-vegas-3,(702) 254-4646,https://s3-media2.fl.yelpcdn.com/photo/6ei1wF8cJZmophpAQZLRqg/30s.jpg,Will H.,https://www.yelp.com/user_details?userid=3U9DmFtqLcukA5CkN2so3A,"Great dining experience.  I tried their infamous chicken and waffles, and it was pretty good. The next time I come I'll opt for a la carte, as I realized I'm not a huge fan of…",read more,https://www.yelp.com/biz/hash-house-a-go-go-las-vegas-5?hrid=VjFA-uUA7CvwHytykLsCYA
