Table_1
url,Rank,Game,Game_link,Publisher,Meta_Score
http://www.metacritic.com/feature/best-video-games-of-2017,1,Persona 5,http://www.metacritic.com/game/playstation-4/persona-5,Atlus,93
http://www.metacritic.com/feature/best-video-games-of-2017,2,Undertale,http://www.metacritic.com/game/playstation-4/undertale,8-4 + Fangamer,92
http://www.metacritic.com/feature/best-video-games-of-2017,3,Final Fantasy XIV: Stormblood,http://www.metacritic.com/game/playstation-4/final-fantasy-xiv-stormblood,Square Enix,89
http://www.metacritic.com/feature/best-video-games-of-2017,4,Horizon Zero Dawn,http://www.metacritic.com/game/playstation-4/horizon-zero-dawn,Sony,89
http://www.metacritic.com/feature/best-video-games-of-2017,5,What Remains of Edith Finch,http://www.metacritic.com/game/playstation-4/what-remains-of-edith-finch,Annapurna Inter.,88
http://www.metacritic.com/feature/best-video-games-of-2017,6,NieR: Automata,http://www.metacritic.com/game/playstation-4/nier-automata,Square Enix,88
http://www.metacritic.com/feature/best-video-games-of-2017,7,Okami HD,http://www.metacritic.com/game/playstation-4/okami-hd,Capcom,88
http://www.metacritic.com/feature/best-video-games-of-2017,8,Nex Machina: Death Machine,http://www.metacritic.com/game/playstation-4/nex-machina-death-machine,Sony,88
http://www.metacritic.com/feature/best-video-games-of-2017,9,Nioh,http://www.metacritic.com/game/playstation-4/nioh,Sony,88
http://www.metacritic.com/feature/best-video-games-of-2017,10,Injustice 2,http://www.metacritic.com/game/playstation-4/injustice-2,Warner Bros. Inter.,87
http://www.metacritic.com/feature/best-video-games-of-2017,11,Night in the Woods,http://www.metacritic.com/game/playstation-4/night-in-the-woods,Infinite Fall,87
http://www.metacritic.com/feature/best-video-games-of-2017,12,Wolfenstein II: The New Colossus,http://www.metacritic.com/game/playstation-4/wolfenstein-ii-the-new-colossus,Bethesda Softworks,87
http://www.metacritic.com/feature/best-video-games-of-2017,13,Zero Escape: The Nonary Games,http://www.metacritic.com/game/playstation-4/zero-escape-the-nonary-games,Aksys Games,87
http://www.metacritic.com/feature/best-video-games-of-2017,14,F1 2017,http://www.metacritic.com/game/playstation-4/f1-2017,Deep Silver,86
http://www.metacritic.com/feature/best-video-games-of-2017,15,Thimbleweed Park,http://www.metacritic.com/game/playstation-4/thimbleweed-park,Terrible Toybox,86
http://www.metacritic.com/feature/best-video-games-of-2017,16,Final Fantasy XII: The Zodiac Age,http://www.metacritic.com/game/playstation-4/final-fantasy-xii-the-zodiac-age,Square Enix,86
http://www.metacritic.com/feature/best-video-games-of-2017,17,Sonic Mania,http://www.metacritic.com/game/playstation-4/sonic-mania,Sega,86
http://www.metacritic.com/feature/best-video-games-of-2017,18,Resident Evil 7: biohazard,http://www.metacritic.com/game/playstation-4/resident-evil-7-biohazard,Capcom,86
http://www.metacritic.com/feature/best-video-games-of-2017,19,Guilty Gear Xrd: Rev 2,http://www.metacritic.com/game/playstation-4/guilty-gear-xrd-rev-2,Aksys Games,86
http://www.metacritic.com/feature/best-video-games-of-2017,20,Pillars of Eternity: Complete Edition,http://www.metacritic.com/game/playstation-4/pillars-of-eternity-complete-edition,Paradox Inter.,85
http://www.metacritic.com/feature/best-video-games-of-2017,21,Destiny 2,http://www.metacritic.com/game/playstation-4/destiny-2,Activision,85
http://www.metacritic.com/feature/best-video-games-of-2017,22,Nioh: Bloodshed's End,http://www.metacritic.com/game/playstation-4/nioh-bloodsheds-end,Sony,85
http://www.metacritic.com/feature/best-video-games-of-2017,23,Final Fantasy IX,http://www.metacritic.com/game/playstation-4/final-fantasy-ix,Square Enix,85
http://www.metacritic.com/feature/best-video-games-of-2017,24,Ys VIII: Lacrimosa of DANA,http://www.metacritic.com/game/playstation-4/ys-viii-lacrimosa-of-dana,NIS America,85
http://www.metacritic.com/feature/best-video-games-of-2017,25,Yakuza 0,http://www.metacritic.com/game/playstation-4/yakuza-0,Sega,85
http://www.metacritic.com/feature/best-video-games-of-2017,26,MLB The Show 17,http://www.metacritic.com/game/playstation-4/mlb-the-show-17,Sony,85
http://www.metacritic.com/feature/best-video-games-of-2017,27,Wipeout: Omega Collection,http://www.metacritic.com/game/playstation-4/wipeout-omega-collection,Sony,85
http://www.metacritic.com/feature/best-video-games-of-2017,28,Shadow Tactics: Blades of the Shogun,http://www.metacritic.com/game/playstation-4/shadow-tactics-blades-of-the-shogun,Daedalic Ent.,85
http://www.metacritic.com/feature/best-video-games-of-2017,29,Pyre,http://www.metacritic.com/game/playstation-4/pyre,Supergiant Games,85
